Country or Area,Year,Item,Value
Costa Rica,2019,Gross Domestic Product (GDP),12238.37505
Costa Rica,2018,Gross Domestic Product (GDP),12112.13439
C?te d'Ivoire,2019,Gross Domestic Product (GDP),2276.340329
C?te d'Ivoire,2018,Gross Domestic Product (GDP),2314.03166
Croatia,2019,Gross Domestic Product (GDP),14627.29471
Croatia,2018,Gross Domestic Product (GDP),14674.02313
Cuba,2019,Gross Domestic Product (GDP),9295.901636
Cuba,2018,Gross Domestic Product (GDP),8821.822004
Cura?ao,2019,Gross Domestic Product (GDP),18980.00116
Cura?ao,2018,Gross Domestic Product (GDP),19218.86083
Cyprus,2019,Gross Domestic Product (GDP),28284.90763
Cyprus,2018,Gross Domestic Product (GDP),28967.57668
Czechia,2019,Gross Domestic Product (GDP),23451.73572
Czechia,2018,Gross Domestic Product (GDP),23337.35888
Democratic People's Republic of Korea,2019,Gross Domestic Product (GDP),639.5563899
Democratic People's Republic of Korea,2018,Gross Domestic Product (GDP),687.9431784
Democratic Republic of the Congo,2019,Gross Domestic Product (GDP),545.2162053
Democratic Republic of the Congo,2018,Gross Domestic Product (GDP),560.8073543
Denmark,2019,Gross Domestic Product (GDP),60656.93852
Denmark,2018,Gross Domestic Product (GDP),62043.06022
Djibouti,2019,Gross Domestic Product (GDP),3252.320409
Djibouti,2018,Gross Domestic Product (GDP),3048.589504
Dominica,2019,Gross Domestic Product (GDP),8110.516934
Dominica,2018,Gross Domestic Product (GDP),7687.570293
Dominican Republic,2019,Gross Domestic Product (GDP),8282.123087
Dominican Republic,2018,Gross Domestic Product (GDP),8050.649783
Ecuador,2019,Gross Domestic Product (GDP),6183.823825
Ecuador,2018,Gross Domestic Product (GDP),6295.93503
Egypt,2019,Gross Domestic Product (GDP),3161.324684
Egypt,2018,Gross Domestic Product (GDP),2537.512209
El Salvador,2019,Gross Domestic Product (GDP),4187.250031
El Salvador,2018,Gross Domestic Product (GDP),4067.658182
Equatorial Guinea,2019,Gross Domestic Product (GDP),8130.407178
Equatorial Guinea,2018,Gross Domestic Product (GDP),10144.18882
Eritrea,2019,Gross Domestic Product (GDP),566.7116794
Eritrea,2018,Gross Domestic Product (GDP),580.881171
Estonia,2019,Gross Domestic Product (GDP),23740.1638
Estonia,2018,Gross Domestic Product (GDP),23154.1909
Ethiopia,2019,Gross Domestic Product (GDP),827.5443326
Ethiopia,2018,Gross Domestic Product (GDP),734.3627951
Fiji,2019,Gross Domestic Product (GDP),6185.100338
Fiji,2018,Gross Domestic Product (GDP),6267.011232
Finland,2019,Gross Domestic Product (GDP),48678.36521
Finland,2018,Gross Domestic Product (GDP),49966.99993
France,2019,Gross Domestic Product (GDP),40318.75274
France,2018,Gross Domestic Product (GDP),41491.61106
French Polynesia,2019,Gross Domestic Product (GDP),21566.94615
French Polynesia,2018,Gross Domestic Product (GDP),22238.26757
Gabon,2019,Gross Domestic Product (GDP),7773.19892
Gabon,2018,Gross Domestic Product (GDP),8018.81644
Gambia,2019,Gross Domestic Product (GDP),776.4444967
Gambia,2018,Gross Domestic Product (GDP),734.5800866
Georgia,2019,Gross Domestic Product (GDP),4439.323978
Georgia,2018,Gross Domestic Product (GDP),4396.66682
Germany,2019,Gross Domestic Product (GDP),46231.56337
Germany,2018,Gross Domestic Product (GDP),47684.75523
Ghana,2019,Gross Domestic Product (GDP),2202.629207
Ghana,2018,Gross Domestic Product (GDP),2201.584397
Greece,2019,Gross Domestic Product (GDP),19604.48912
Greece,2018,Gross Domestic Product (GDP),20171.52675
Greenland,2019,Gross Domestic Product (GDP),53352.64773
Greenland,2018,Gross Domestic Product (GDP),53949.81456
Grenada,2019,Gross Domestic Product (GDP),10817.73273
Grenada,2018,Gross Domestic Product (GDP),10485.90604
Guatemala,2019,Gross Domestic Product (GDP),4363.138793
Guatemala,2018,Gross Domestic Product (GDP),4239.281796
Guinea,2019,Gross Domestic Product (GDP),967.3606842
Guinea,2018,Gross Domestic Product (GDP),878.6013847
Guinea-Bissau,2019,Gross Domestic Product (GDP),688.3516153
Guinea-Bissau,2018,Gross Domestic Product (GDP),737.5827509
Guyana,2019,Gross Domestic Product (GDP),6609.587274
Guyana,2018,Gross Domestic Product (GDP),6145.828152
Haiti,2019,Gross Domestic Product (GDP),714.830247
Haiti,2018,Gross Domestic Product (GDP),834.9471764
Honduras,2019,Gross Domestic Product (GDP),2574.908102
Honduras,2018,Gross Domestic Product (GDP),2505.773786
Hungary,2019,Gross Domestic Product (GDP),16879.13899
Hungary,2018,Gross Domestic Product (GDP),16525.24876
Iceland,2019,Gross Domestic Product (GDP),71344.61367
Iceland,2018,Gross Domestic Product (GDP),76437.78032
India,2019,Gross Domestic Product (GDP),2116.177386
India,2018,Gross Domestic Product (GDP),2050.549716
Indonesia,2019,Gross Domestic Product (GDP),4135.569274
Indonesia,2018,Gross Domestic Product (GDP),3893.743031
